ministro,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Mello,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,6,6,1,1,1,1,6,1,1,1,1,6,9,6,1,1,1,6,1,9,1,1,9
Aurélio,1,1,6,1,1,6,1,9,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,6,1,1,1,9,1
Mendes,1,9,6,1,1,1,1,1,1,1,1,9,9,9,1,6,1,1,1,1,9,1,1,9,9,1,9,1,1,1,1,9,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,6,6,1,6,6,1,1,6,9,1,1,1,1
Peluso,1,1,6,1,1,1,1,1,1,1,1,9,9,9,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,6,6,1,6,6,1,1,6,1,1,1,1,1
Britto,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,6,6,6,6,1,6,1,1,6,1,1,6,1,1,1,1,1
Barbosa,1,1,9,1,1,9,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9,9,1,9,1,9,9
Lewandowski,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,6,6,1,6,6,1,1,6,1,1,1,1,1
Lúcia,9,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,6,1,1,1,6,6,1,6,1,1,1,6,1,1,1,1,1
Toffoli,9,1,6,9,1,1,1,1,9,1,9,9,9,9,9,6,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,9,9,9,9,9,9,6,6,9,9,1,1,6,1,9,1,6,6,1,6,9,1,1,9,1,1,9,1,1
FUX,9,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,9,1,1,1,6,1,1,1,6,6,1,6,9,1,1,1,1,1,1,1,1
AGU,6,6,6,6,1,1,1,1,6,1,1,1,6,1,6,6,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,6,6,6,6,6,1,6,6,1,1,6,9,1
PGR,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,6,6,1,6,6,1,1,6,1,1,1,1,1
